Date,Time,Transport_Mode,Route,Start_Location,End_Location,Distance_km,Passenger_Count,Delay_Duration_min,CO2_Emissions_kg,Satisfaction_Score
2025-01-01,06:00,Metro,M-Red,East District,South District,18.7,469,11,0.56,4.0
2025-01-01,14:15,Bus,B-58,City Center,South District,8.8,28,0,0.88,4.0
2025-01-01,21:15,Bus,B-14,North District,East District,4.4,57,14,0.44,3.0
2025-01-01,21:45,Bus,B-15,West District,South District,13.6,43,10,1.36,4.0
2025-01-01,22:00,Tram,T-1,North District,East District,9.6,105,6,0.38,4.0
2025-01-02,06:00,Metro,M-Red,City Center,West District,15.8,350,1,0.47,2.0
2025-01-02,07:45,Tram,T-4,South District,North District,2.2,92,8,0.09,4.0
2025-01-02,15:30,Metro,M-Yellow,City Center,East District,15.1,297,1,0.45,4.0
2025-01-02,20:15,Metro,M-Blue,North District,City Center,28.0,284,3,0.84,2.0
2025-01-02,21:00,Bus,B-41,North District,South District,3.8,64,9,0.38,2.0
2025-01-02,22:00,Bus,B-63,City Center,West District,2.1,45,2,0.21,3.0
2025-01-03,13:15,Tram,T-1,East District,City Center,3.5,115,3,0.14,3.0
2025-01-03,20:45,Metro,M-Blue,West District,South District,13.8,401,1,0.41,5.0
2025-01-04,05:15,Metro,M-Yellow,South District,West District,16.1,346,2,0.48,4.0
2025-01-04,10:15,Rail,R-Local,South District,West District,44.3,650,0,2.21,3.0
2025-01-04,10:45,Tram,T-11,East District,South District,6.8,73,0,0.27,4.0
2025-01-04,12:00,Bus,B-83,East District,West District,3.1,26,0,0.31,3.0
2025-01-04,13:15,Metro,M-Green,West District,North District,20.3,223,0,0.61,4.0
2025-01-04,18:45,Bus,B-75,North District,City Center,8.8,46,0,0.88,2.0
2025-01-05,09:45,Bus,B-90,North District,West District,2.3,48,11,0.23,2.0
2025-01-05,18:00,Tram,T-6,North District,East District,7.4,111,9,0.3,4.0
2025-01-05,18:15,Bus,B-71,South District,City Center,11.7,34,6,1.17,3.0
2025-01-05,19:00,Bus,B-18,West District,North District,13.3,65,20,1.33,4.0
2025-01-05,23:15,Bus,B-21,North District,City Center,3.5,25,9,0.35,5.0
2025-01-05,23:30,Bus,B-68,South District,West District,7.1,11,0,0.71,5.0
2025-01-06,10:00,Bus,B-37,East District,North District,2.4,38,13,0.24,3.0
2025-01-06,19:00,Bus,B-29,West District,North District,10.4,18,0,1.04,2.0
2025-01-07,05:15,Bus,B-36,South District,West District,14.4,51,2,1.44,3.0
2025-01-07,19:30,Tram,T-11,South District,North District,5.8,107,5,0.23,2.0
2025-01-08,09:15,Bus,B-98,West District,North District,4.2,43,0,0.42,5.0
2025-01-08,14:00,Tram,T-13,West District,East District,6.4,96,0,0.26,2.0
2025-01-08,14:30,Metro,M-Green,North District,City Center,14.2,402,6,0.43,3.0
2025-01-08,16:15,Metro,M-Yellow,City Center,East District,16.9,73,0,0.51,3.0
2025-01-08,17:30,Metro,M-Green,City Center,East District,15.5,199,1,0.46,2.0
2025-01-08,23:45,Bus,B-45,North District,West District,9.0,63,1,0.9,3.0
2025-01-09,05:00,Metro,M-Red,East District,South District,10.4,223,0,0.31,4.0
2025-01-09,06:00,Metro,M-Green,South District,West District,18.9,273,8,0.57,4.0
2025-01-09,07:00,Metro,M-Yellow,East District,City Center,28.4,268,2,0.85,2.0
2025-01-09,15:00,Bus,B-65,North District,City Center,11.4,24,0,1.14,2.0
2025-01-09,23:30,Bus,B-16,West District,City Center,14.8,55,12,1.48,4.0
